update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
10,66,12800,828.3147995119637,15,0.2576562501490116,0.39159404609740067,0.0,0.9639999866485596,0.3125,139.625,107.37543655324527,4.0,400.0,1.9343621015548706,0.5846855908632278,-0.2763347815722227,5.641156268119812,2.52489972114563,nan,0.3803929090499878
20,135,25600,826.125176824833,30,0.18531250208616257,0.3285986798033294,0.0,0.8830000162124634,0.25,154.4375,87.76030477243114,13.0,300.0,1.9324688494205475,0.6946852624416351,0.17285948060452938,0.9686346188187599,0.637852132320404,nan,0.48982468247413635
30,201,38400,849.6279760350467,46,0.10945312306284904,0.24298279872734085,0.0,0.8289999961853027,0.1875,212.5625,119.94372052654528,38.0,400.0,1.918709260225296,0.6929081410169602,-0.07903965935111046,2.2084024965763094,1.0059744119644165,nan,0.33991724252700806
40,280,51200,840.8278115616721,61,0.17793750017881393,0.3706842439754325,0.0,0.9909999966621399,0.1875,151.0625,115.92533628913914,1.0,400.0,1.9272193491458893,0.7548475325107574,0.277537851780653,0.3635386388748884,0.44003501534461975,nan,0.395678848028183
50,346,64000,837.4709907199318,77,0.12849999964237213,0.2280287805053407,0.0,0.6759999990463257,0.25,163.5,88.18800938903202,36.0,300.0,1.8859983503818512,0.8576202809810638,0.039076329208910465,1.5876491725444795,0.8140408396720886,nan,0.13495546579360962
60,419,76800,816.0635545635457,92,0.2162343766540289,0.30586475462129914,0.0,0.968500018119812,0.375,157.9375,88.89633622231008,7.0,300.0,1.8886099815368653,0.8287573158740997,-0.39092535227537156,6.15726922750473,2.668823003768921,nan,0.8355509638786316
70,484,89600,825.4684768197461,108,0.18781249970197678,0.3004147602169847,0.0,0.9100000262260437,0.3125,178.5625,101.1953363241113,10.0,400.0,1.8580905020236969,0.7598713666200638,-0.15264285290613772,4.477118134498596,2.067335367202759,nan,0.32927384972572327
80,557,102400,813.8515241556004,123,0.1588125005364418,0.3310689555287703,0.0,0.8920000195503235,0.1875,188.625,107.73977619709446,24.0,400.0,1.7514455199241639,0.7474172174930572,-0.4917066588997841,8.62577006816864,3.803663969039917,nan,1.3493447303771973
90,623,115200,822.8712543649868,139,0.17820312548428774,0.32023825837255976,0.0,0.9190000295639038,0.3125,178.4375,102.33887870086325,23.0,400.0,1.7666813015937806,0.32432000935077665,-0.5238070890307427,6.345494413375855,2.6312735080718994,nan,1.149933099746704
100,697,128000,832.1112079471624,154,0.17462499998509884,0.3195432028284376,0.0,0.9819999933242798,0.25,183.375,102.6418987304892,2.0,300.0,1.7701907634735108,0.7321857959032059,0.03943744208663702,1.6305306911468507,0.837000846862793,nan,0.18395498394966125
110,778,140800,880.5839691901929,246,0.32090624794363976,0.41814908913467974,0.0,0.9505000114440918,0.375,118.9375,84.37895824048789,8.0,300.0,1.782409393787384,0.6033065170049667,0.21196968629956245,0.07347661443054676,0.2308839112520218,nan,0.5417807698249817
120,850,153600,871.7222781680273,261,0.1713281236588955,0.35756260875971846,0.0,0.9819999933242798,0.1875,197.1875,124.85652703703559,2.0,400.0,1.8362225949764253,0.6159922063350678,0.018495076894760133,3.0709657415747644,1.5356158018112183,nan,0.6703720092773438
130,913,166400,873.2932519516779,275,0.0377499982714653,0.1462051146247439,0.0,0.6039999723434448,0.0625,209.0,103.99519219656263,44.0,400.0,1.8774728953838349,0.2626056864857674,0.15376677960157395,0.046596336737275125,0.15829023718833923,nan,0.2232104390859604
140,984,179200,731.0020226528954,292,0.37381250131875277,0.41411143236704245,0.0,0.9819999933242798,0.5,155.1875,139.914357175202,4.0,400.0,1.8722988188266754,0.4701854959130287,-0.41308197751641273,5.949795770645141,2.543092727661133,nan,0.6711726188659668
150,1057,192000,767.5737108702418,309,0.3398437537252903,0.4402695859760414,0.0,0.9865000247955322,0.375,166.5,149.45066075464504,3.0,400.0,1.8894768357276917,0.899608051776886,0.043363786116242406,4.728835594654083,2.3888869285583496,nan,0.5128885507583618
160,1130,204800,709.3492540594905,327,0.19137499947100878,0.3272380385576894,0.0,0.9369999766349792,0.3125,172.8125,101.75044149167118,7.0,400.0,1.884719681739807,0.3487897485494614,-0.2480992168188095,2.50689811706543,0.9865027666091919,nan,0.9483448266983032
170,1205,217600,769.7558484326111,344,0.08637500181794167,0.23666217770389633,0.0,0.8650000095367432,0.125,187.875,100.99311548318529,45.0,400.0,1.8798168838024139,0.882184973359108,0.32117473632097243,0.28719186708331107,0.4459724426269531,nan,1.8654017448425293
180,1275,230400,722.010312571151,362,0.18049999978393316,0.298488482117796,0.0,0.9459999799728394,0.3125,187.6875,113.70780467386572,6.0,400.0,1.8931853950023652,0.9585641294717788,0.0077273139730095865,1.8515520513057708,0.9145714044570923,nan,1.0944267511367798
190,1346,243200,757.0636241466885,379,0.16596875060349703,0.28397857024126655,0.0,0.8650000095367432,0.3125,181.75,110.61504192468581,15.0,400.0,1.8861843526363373,0.7749944716691971,0.04010680839419365,3.4479281164705755,1.745208978652954,nan,0.2184070348739624
200,1425,256000,700.7365402414115,397,0.16590624768286943,0.3190776813440657,0.0,0.9369999766349792,0.25,183.5,118.07783449911334,7.0,400.0,1.887926310300827,1.0380451798439025,0.0737301055341959,4.173260992765426,2.141481399536133,nan,0.6132031679153442
210,1497,268800,740.8862357158806,545,0.03971875086426735,0.15383006062946888,0.0,0.6355000138282776,0.0625,180.0625,119.3212411674887,81.0,400.0,1.8786260902881622,0.7810683935880661,0.3163424864411354,0.1391515325754881,0.3671320080757141,nan,0.9408338069915771
220,1579,281600,739.0282456509362,562,0.20737499743700027,0.29709507505575905,0.0,0.8920000195503235,0.375,147.75,112.32347261369726,12.0,400.0,1.8691261649131774,0.9588108271360397,-0.4386038616299629,4.060742688179016,1.5730761289596558,nan,0.6393140554428101
230,1640,294400,730.1875564348323,579,0.0979843745008111,0.2077444788115422,0.0,0.6804999709129333,0.25,230.4375,126.75959961182427,47.0,400.0,1.847318321466446,0.5189289003610611,0.24804074987769126,0.0872859025374055,0.2732104957103729,nan,0.4915582239627838
240,1712,307200,758.0137748829844,597,0.1624062480404973,0.2689143201135817,0.0,0.8289999961853027,0.3125,189.25,95.82634032456838,19.0,400.0,1.8479571759700775,0.6818517565727233,0.22143871523439884,0.6443451907485723,0.52513188123703,nan,0.5632115602493286
250,1789,320000,711.1996796314968,614,0.15612500440329313,0.29194389847829283,0.0,0.9190000295639038,0.3125,150.0625,71.23330396485902,9.0,300.0,1.8555958151817322,0.8343482404947281,-0.11896161427721381,3.250472807884216,1.487718939781189,nan,0.45899641513824463
260,1861,332800,759.4408492392166,632,0.29681249894201756,0.40957835893625355,0.0,0.9819999933242798,0.375,142.0,102.08146256789232,2.0,300.0,1.892935538291931,0.5783852636814117,0.0024793947115540503,1.1016969412565232,0.5343984961509705,nan,1.0848851203918457
270,1934,345600,725.0447481781403,649,0.32696874998509884,0.39016320507769264,0.0,0.9909999966621399,0.4375,135.3125,126.61443378916165,1.0,400.0,1.8886565685272216,0.7830722093582153,-0.06734708696603775,4.9331889867782595,2.3803608417510986,nan,1.041141152381897
280,2014,358400,726.3887027380345,667,0.09482812415808439,0.21518655833694816,0.0,0.6489999890327454,0.1875,167.75,94.85416437879783,39.0,400.0,1.8486577093601226,0.995827266573906,0.0032202402129769326,2.8964531779289246,1.4329601526260376,nan,0.5885277986526489
290,2093,371200,720.3466653213385,684,0.2250312501564622,0.375057599324037,0.0,0.9865000247955322,0.3125,194.5625,124.60987558676881,3.0,400.0,1.8679174661636353,0.8308208763599396,0.03698552027344704,3.5247069776058195,1.7806599140167236,nan,0.7398592233657837
300,2159,384000,763.4059904666485,702,0.09243750013411045,0.24897488986717908,0.0,0.9909999966621399,0.1875,215.0,96.81619182760701,1.0,400.0,1.8629062116146087,0.5474668830633164,0.2556128859519958,0.2942691810429096,0.3841184079647064,nan,0.4161583483219147
310,2232,396800,724.7142319502767,829,0.1780625032261014,0.30161181494580913,0.0,0.9010000228881836,0.3125,144.25,85.50182746585011,11.0,300.0,1.8483185470104218,0.36620060354471207,-0.2417392086237669,2.957010805606842,1.2182830572128296,nan,1.3865336179733276
320,2306,409600,708.6850928613895,847,0.16787500120699406,0.3242456416990803,0.0,0.9549999833106995,0.25,167.1875,98.36235226828403,10.0,300.0,1.8480108976364136,0.8202061742544174,0.12015235014259815,2.1892375562340023,1.1962908506393433,nan,0.9646643400192261
330,2387,422400,728.8998758535746,864,0.3361406270414591,0.35901364640190436,0.0,0.9819999933242798,0.5625,127.0625,85.66903520963686,2.0,300.0,1.7671365559101104,1.3692751407623291,-0.18181107938289642,6.134133076667785,2.867583990097046,nan,1.1179574728012085
340,2459,435200,706.9404162707551,882,0.2343125008046627,0.36767780141560175,0.0,0.9909999966621399,0.3125,161.0625,125.96401705943646,1.0,400.0,1.8279240131378174,0.6243277281522751,-0.7372528731822967,9.769455480575562,4.129195690155029,nan,2.9367048740386963
350,2531,448000,761.5901058566885,899,0.20862499810755253,0.34501795360185594,0.0,0.9909999966621399,0.3125,162.5,111.09736720552833,3.0,400.0,1.838902324438095,0.5786668837070466,0.10725236348807812,1.130255463719368,0.6539911031723022,nan,0.45499464869499207
360,2606,460800,740.1611237051476,916,0.1863593775779009,0.29544833906062945,0.0,0.8560000061988831,0.3125,171.25,108.08416859096432,32.0,400.0,1.8189757525920869,0.8606864511966705,-0.07526312805712224,2.9112637400627137,1.3621790409088135,nan,0.5375333428382874
370,2680,473600,711.2113622998872,934,0.04506250098347664,0.17452631584746037,0.0,0.7210000157356262,0.0625,189.4375,95.77836965489651,31.0,400.0,1.764588475227356,0.4806207001209259,-0.026275211572647096,2.727317237854004,1.3197376728057861,nan,0.5182621479034424
380,2749,486400,727.9863219566143,951,0.11612500064074993,0.22538914143783953,0.0,0.8019999861717224,0.25,203.25,112.56359313739057,44.0,400.0,1.7345040440559387,0.45278423130512235,-0.05254096984863281,3.2495065093040467,1.5548672676086426,nan,0.6026942133903503
390,2828,499200,728.6466226641057,969,0.17215625196695328,0.28550031913307844,0.0,0.8335000276565552,0.3125,132.75,80.67876114566955,27.0,300.0,1.738798826932907,0.8529021292924881,-0.048839229810982945,1.9807191073894501,0.9241323471069336,nan,2.174818515777588
400,2904,512000,717.6899531731729,986,0.25174999609589577,0.38547478256741247,0.0,0.9639999866485596,0.3125,183.3125,143.14709163566684,6.0,400.0,1.7863966226577759,0.92760329246521,0.22204047814011574,1.9033505380153657,1.1558517217636108,nan,0.9123133420944214
410,2983,524800,733.6788766793773,1134,0.2620468754321337,0.33213956299822983,0.0,0.8830000162124634,0.4375,151.6875,83.9156710260366,13.0,300.0,1.7750533461570739,0.7037133663892746,-0.34671206288039685,5.327462935447693,2.2992687225341797,nan,1.6508805751800537
420,3055,537600,801.7978210049555,1151,0.22959375008940697,0.34972396370827236,0.0,0.9010000228881836,0.375,164.0625,110.92760519253086,11.0,400.0,1.7992637693881988,1.1488386273384095,0.31421239748597146,0.4472052752971649,0.519822359085083,nan,0.7665528655052185
430,3127,550400,801.9490883365877,1167,0.10137499868869781,0.27426033714929743,0.0,0.9729999899864197,0.125,165.125,88.4836672782045,3.0,300.0,1.7855876445770265,0.3774209439754486,0.15980770736932753,0.038148493599146606,0.16102609038352966,nan,0.4445062279701233
440,3210,563200,808.2497306315544,1183,0.0709062498062849,0.23110713291146318,0.0,0.9490000009536743,0.125,187.375,97.24317135408532,17.0,400.0,1.7490003764629365,1.4216403543949128,0.3528355747461319,3.533316043019295,2.102003812789917,nan,1.1589939594268799
